,mol_id,atom_index,shift,DFT_shift
17466,10024323,0,147.6,154.49223947669498
17472,10024326,2,117.6,125.447424867725
17478,10024327,0,144.4,152.29188644833
17517,10024355,3,117.5,123.81632028391
17613,10024393,7,119.4,105.51744727979998
17615,10024393,9,130.4,123.422292116095
17620,10024393,6,144.5,154.18016762143998
17635,10024395,5,163.9,171.66527629565002
17636,10024397,8,97.4,105.90500012575
17637,10024397,10,114.1,121.91460523409498
17641,10024397,11,120.1,126.7932287031
17647,10024397,5,160.0,169.54968233109997
17887,10024912,4,128.4,134.95629005658498
17910,10024974,6,37.6,146.14071726295998
17911,10024974,5,38.7,48.29802400324
17913,10024974,3,44.7,36.91982037388999
17915,10024974,8,115.4,5.311522037848999
17962,10024998,11,102.4,96.428704839405
17972,10024998,0,157.2,149.310049052795
18056,10025021,0,149.7,160.713767383225
18075,10025028,1,160.6,169.56369608737498
18084,10025029,1,160.1,166.63868688969998
18099,10025041,0,163.9,154.02727270814998
18100,10025041,1,164.7,142.94258478781495
18131,10025066,9,14.0,1.1318797140759995
18133,10025066,6,39.5,7.207669809058999
18135,10025066,14,52.0,1.6624180298589977
18137,10025066,10,54.8,1.4349532611529978
18139,10025066,11,169.4,1.2093125884269966
18142,10025067,9,40.7,34.53864156627998
18158,10025076,6,38.3,7.1731943950369965
18159,10025076,9,42.9,31.91091729482497
18161,10025076,8,58.4,6.915358428264001
18162,10025076,7,83.2,7.171005479860997
18206,10025090,8,169.7,160.59344237245
18230,10025125,8,61.6,3.8206883933949984
18233,10025125,9,126.1,3.757757082084997
18235,10025125,10,128.2,7.418535304346997
18238,10025125,7,159.9,3.705952756252998
18242,10025134,14,28.0,21.445927341629982
18286,10025148,2,106.2,99.004143302965
18294,10025157,1,113.6,106.85426298183998
18320,10025162,0,113.4,107.49048751672498
18331,10025167,14,113.9,107.953038120395
18394,10025346,2,56.4,50.049936830805
18436,10025388,3,111.6,120.67733552490498
18437,10025388,8,121.2,113.182778669035
18439,10025388,6,126.8,120.43871508184998
18457,10025389,7,94.7,67.71393835235997
18488,10025944,11,63.1,93.79730799734
18500,10025944,6,136.4,7.3293370109249985
18503,10025944,13,205.0,212.56804823155
18550,10026406,4,73.1,61.20353377337496
18566,10026414,9,120.8,1.3595268923799964
18567,10026414,11,123.7,1.6561248987279988
18568,10026414,10,136.4,1.7877334236849975
18569,10026414,8,148.2,2.606934928302998
18570,10026414,7,160.8,3.9846746219969984
18575,10026996,0,125.67,142.51009127518998
18576,10026996,4,125.67,104.38735864446498
18577,10026996,5,155.46,166.457667817265
18578,10026996,2,162.98,152.34939117235496
18636,10027149,10,184.7,171.89858117597996
18655,10027307,6,29.5,36.156408919984976
18673,10027307,8,210.9,220.541488965645
18675,10027487,32,19.0,1.4977021628649965
18676,10027487,17,20.0,3.8690269368649983
18677,10027487,14,21.3,1.921530863817999
18678,10027487,13,22.2,2.245490309866
18682,10027487,12,67.2,1.5874476850809955
18684,10027487,6,84.9,1.1563226002079965
18686,10027487,10,111.0,3.787763460955997
18687,10027487,8,121.9,1.211045479608
18690,10027487,31,140.7,1.6727241721459976
18691,10027487,29,142.1,7.5520591300829985
18693,10027487,11,154.7,1.575864675607999
18695,10027487,16,169.7,1.836619195948998
18696,10027487,7,192.3,1.2944978706930002
18699,10027666,7,17.5,1.1373520020159982
18702,10027666,12,24.4,1.0134046801750003
18708,10027666,8,46.2,1.7598247551909978
18710,10027666,13,73.2,1.0017304659029982
18712,10027666,11,134.9,1.308999433733998
18714,10027786,19,24.1,33.941848842155
18718,10027786,13,113.9,105.40669028192998
18735,10027988,21,18.4,0.952935898437996
18736,10027988,24,19.8,1.3694682154709987
18738,10027988,29,21.6,1.5874476850809955
18740,10027988,0,25.7,32.83302245771998
18742,10027988,25,26.9,1.4116048326089974
18744,10027988,19,27.2,1.7757855950159964
18745,10027988,11,27.4,0.3872837350399969
18746,10027988,10,28.6,20.284815149299988
18747,10027988,6,31.4,2.129660215135996
18749,10027988,16,33.4,39.83622802460997
18754,10027988,7,46.0,2.7701003137139963
18755,10027988,5,48.9,8.478243863928
18756,10027988,12,49.3,1.070498884349
18757,10027988,20,52.7,1.4228230228859964
18759,10027988,27,128.7,1.2293776442069984
18761,10027988,28,170.8,2.326480171377998
18764,10027988,23,32.0,0.9014963918019988
18766,10116054,11,18.8,2.234545733986
18771,10116054,10,62.3,3.134281076120998
18777,10116054,6,128.8,43.5940409314
18800,20000243,8,15.6,2.285985240621997
18801,20000243,11,20.6,4.636971344444998
18802,20000243,16,20.6,50.52079904164501
18805,20000243,0,34.3,22.16536459481
18810,20000243,12,62.9,3.238892980573997
18811,20000243,14,62.9,36.35917347629498
18812,20000243,9,64.7,1.8076160698669987
18813,20000243,3,136.7,68.809814093065
18815,20000243,10,170.2,2.229347060442997
18841,20000460,8,11.7,3.5872041079549994
18848,20000460,7,136.6,4.459851624786996
18851,20000563,5,134.3,141.964327953225
18853,20000563,8,70.0,76.46838022064999
18862,20000580,13,24.8,33.91788048659498
18863,20000580,11,33.2,23.615836692569985
18868,20000580,2,115.7,122.77756268085
18871,20000580,4,125.3,114.67451886286
18877,20000581,12,22.4,143.74910062309
18878,20000581,10,28.6,4.599030148061001
18880,20000581,9,33.5,4.013039314485997
18888,20000581,5,127.3,138.62857072679998
18889,20000581,8,137.4,1.7693100542869966
18893,20000600,7,118.5,130.11342582773
18920,20000685,22,17.8,5.6150516089209965
18922,20000685,21,25.8,5.973851288186996
18923,20000685,17,56.0,7.7172310210719965
18963,20024872,12,161.96,154.43792409030502
18964,20024872,20,161.96,154.64832372761998
18967,20024997,22,22.6,5.361593472499997
18973,20024997,20,46.3,1.9368532700499976
18974,20024997,19,71.5,1.6437210460639982
18987,20024997,21,170.3,1.946429773944999
18994,20025005,4,115.0,109.04582117005998
19005,20025005,2,168.8,161.95171361858
19016,20025017,2,82.4,5.726959897293997
19023,20025017,3,169.8,6.321159162778997
19045,20025037,19,60.9,117.97248727064
19046,20025037,11,69.82,5.529501507458999
19047,20025037,6,101.03,6.425406248035997
19054,20025037,13,128.83,6.741157262173996
19057,20025037,12,140.6,6.847684467405998
19062,20025037,10,169.29,5.8441580640089965
19083,20025045,13,19.1,29.47725938612999
19085,20025045,16,23.7,1.4840214430149992
19087,20025045,1,27.9,40.42325944263999
19089,20025045,14,31.1,1.9530877242719955
19091,20025045,6,37.3,1.8803062946699995
19093,20025045,19,41.3,1.1101729719139968
19095,20025045,20,51.2,1.0235284128639996
19101,20025045,17,145.6,1.6320468317919958
19102,20025045,15,174.7,1.5410244423899968
19103,20025045,7,200.3,2.2790536758979982
19126,20025049,25,23.39,7.020791175907996
19134,20025049,23,110.93,7.060374058673997
19135,20025049,24,118.39,7.236672935140997
19142,20025049,20,126.85,6.983032389121997
19145,20025049,21,130.56,6.139387998371997
19150,20025049,19,138.39,7.628215137247995
19163,20025509,10,31.6,6.886993735774998
19164,20025509,11,54.0,7.410965306029997
19165,20025509,9,62.2,5.520289822759999
19166,20025509,7,114.9,4.545128111851998
19177,20025518,25,20.4,94.74695743981
19178,20025518,17,21.3,0.9035028973799974
19181,20025518,15,23.1,1.5461319111339975
